"Marca temporal","Que mazos vas a jugar en OP13?","Ahora te toca quedarte con uno!"
"2025/10/30 10:30:52 p. m. CET","Imu B;Law GY;Lim GP;Wb/Ace ST22;Vegapunk","Law GY"
"2025/10/30 10:31:57 p. m. CET","Belo Betty;Nami BY;Lim GP;Smoker RG;Kuzan;Uta G","Uta G"
"2025/10/30 10:34:14 p. m. CET","Katakuri P;Reiju;Sanji BP;Foxy","Katakuri P"
"2025/10/30 10:37:30 p. m. CET","Sanji BP","Sanji BP"
"2025/10/30 10:37:48 p. m. CET","Imu B;Ace RU;Roger RP;Sabo RB OP13","Imu B"
"2025/10/30 10:38:04 p. m. CET","Luffy UP;Buggy;Foxy","Foxy"
"2025/10/30 10:38:23 p. m. CET","Imu B;Ace RU;Belo Betty;Kuzan","Imu B"
"2025/10/30 10:38:54 p. m. CET","Imu B;Sabo RB OP13","Imu B"
"2025/10/30 10:38:55 p. m. CET","Zoro G;Nami BY;Sanji R","Zoro G"
"2025/10/30 10:42:24 p. m. CET","Ace RU;Roger RP;Bonney G","Bonney G"
"2025/10/30 10:43:12 p. m. CET","Imu B;Ace RU;Zoro G;Luffy UP","Ace RU"
"2025/10/30 10:44:18 p. m. CET","Imu B;Rayleigh R;Vegapunk","Vegapunk"
"2025/10/30 10:45:42 p. m. CET","Ace RU;Zoro G;Roger RP","Ace RU"
"2025/10/30 10:48:28 p. m. CET","Ace RU;Roger RP;Shanks R","Ace RU"
"2025/10/30 10:49:08 p. m. CET","Sabo RB OP13;Pudding;Buggy","Sabo RB OP13"
"2025/10/30 10:50:31 p. m. CET","Imu B;Ace RU;Luffy UP","Imu B"
"2025/10/30 10:52:44 p. m. CET","Imu B;Nami BY","Nami BY"
"2025/10/30 10:53:54 p. m. CET","Enel Y","Enel Y"
"2025/10/30 10:55:22 p. m. CET","Imu B;Luffy RG OP13;Sabo RB OP13","Imu B"
"2025/10/30 10:56:28 p. m. CET","Ace RU;Luffy UP;Belo Betty;Roger RP;Rayleigh R","Ace RU"
"2025/10/30 10:56:52 p. m. CET","Ace RU;Sabo RB OP13","Ace RU"
"2025/10/30 10:59:44 p. m. CET","Imu B;Sabo RB OP13","Imu B"
"2025/10/30 11:05:27 p. m. CET","Imu B;Zoro G;Roger RP","Zoro G"
"2025/10/30 11:13:18 p. m. CET","Ace RU;Nami BY;Wb/Ace ST22;Sabo RB OP13","Nami BY"
"2025/10/30 11:20:45 p. m. CET","Imu B;Zoro G;Blackbeard B","Imu B"
"2025/10/30 11:21:14 p. m. CET","Sabo RB OP13;Buggy","Sabo RB OP13"
"2025/10/30 11:21:30 p. m. CET","Ace RU;Roger RP;Shanks R","Roger RP"
"2025/10/30 11:27:17 p. m. CET","Imu B","Imu B"
"2025/10/30 11:32:35 p. m. CET","Imu B;Roger RP;Sabo RB OP13","Imu B"
"2025/10/31 12:01:06 a. m. CET","Luffy RG OP13","Bonney G"
"2025/10/31 12:16:43 a. m. CET","Nami BY;Enel Y;Law GY;Luffy BP","Enel Y"
"2025/10/31 12:19:16 a. m. CET","Zoro G","Zoro G"
"2025/10/31 1:04:37 a. m. CET","Ace RU;Roger RP","Ace RU"
"2025/10/31 1:29:42 a. m. CET","Ace RU;Luffy P","Ace RU"
"2025/10/31 7:21:04 a. m. CET","Imu B;Zoro G;Rayleigh R","Zoro G"
"2025/10/31 7:25:49 a. m. CET","Ace RU;Blackbeard B","Ace RU"
"2025/10/31 8:32:09 a. m. CET","Imu B;Ace RU;Luffy UP;Luffy GP;Boa","Ace RU"
"2025/10/31 8:32:31 a. m. CET","Roger RP;Rayleigh R","Roger RP"
"2025/10/31 8:35:15 a. m. CET","Imu B;Blackbeard B","Imu B"
"2025/10/31 8:38:55 a. m. CET","Sabo RB OP13;Luffy P;Zoro/Sanji GU","Sabo RB OP13"
"2025/10/31 9:01:39 a. m. CET","Bonney G;Vegapunk;Bonney Y","Bonney G"
"2025/10/31 9:44:26 a. m. CET","Roger RP;Sanji R;Luffy BP","Roger RP"
"2025/10/31 3:59:29 p. m. CET","Lim GP;Luffy RG OP13;Uta G;Yamato GY","Yamato GY"
"2025/10/31 4:04:28 p. m. CET","Imu B;Zoro G;Katakuri P","Zoro G"
"2025/10/31 4:14:37 p. m. CET","Bonney G","Roger RP"
