"Marca temporal,""Que mazos vas a jugar en OP14? (multiple)"",""Ahora escoge solo uno!""";;;;;;
"2026/01/07 9:29:15 p. m. CET,""Boa UY";Imu B;"Luffy UP"",""Luffy UP""";;;;
"2026/01/07 9:29:25 p. m. CET,""Doflamingo P";Law R;"Oden RG"",""Doflamingo P""";;;;
"2026/01/07 9:30:02 p. m. CET,""Doflamingo P";Imu B;"Yamato GY"",""Imu B""";;;;
"2026/01/07 9:30:39 p. m. CET,""Mihawk G";Ace RU;"Sanji UP"",""Mihawk G""";;;;
"2026/01/07 9:32:58 p. m. CET,""Luffy UP";"Sanji UP"",""Sanji UP""";;;;;
"2026/01/07 9:33:11 p. m. CET,""Crocodile B";Sanji UP;"Foxy P"",""Foxy P""";;;;
"2026/01/07 9:33:17 p. m. CET,""Mihawk G";Crocodile B;Doflamingo P;Ace RU;Imu B;"Luffy UP"",""Ace RU""";
"2026/01/07 9:33:25 p. m. CET,""Doflamingo P";Imu B;Kuzan U;"Sanji UP"",""Imu B""";;;
"2026/01/07 9:36:46 p. m. CET,""Crocodile B";"Imu B"",""Crocodile B""";;;;;
"2026/01/07 9:38:30 p. m. CET,""Mihawk G";Luffy RG;Bonney G;"Carrot G"",""Carrot G""";;;
"2026/01/07 9:40:00 p. m. CET,""Boa UY";Ace RU;Bonney Y;Belo Betty RY;"Uta G"",""Uta G""";;
"2026/01/07 9:47:05 p. m. CET,""Sabo RB OP13"",""Sabo RB OP13""";;;;;;
"2026/01/07 9:51:11 p. m. CET,""Crocodile B";Sabo RB OP13;Luffy RG;Oden RG;Kuzan U;"King BP"",""Sabo RB OP13""";
"2026/01/07 9:52:18 p. m. CET,""Moria BY";Imu B;"Blackbeard B"",""Imu B""";;;;
"2026/01/07 9:56:48 p. m. CET,""Doflamingo P";Luffy UP;"Foxy P"",""Luffy UP""";;;;
"2026/01/07 9:58:29 p. m. CET,""Law R";"Sugar RP"",""Law R""";;;;;
"2026/01/07 10:01:39 p. m. CET,""Blackbeard B";Sanji UP;"Yamato GY"",""Sanji UP""";;;;
"2026/01/07 10:09:01 p. m. CET,""Boa UY";"Bonney Y"",""Bonney Y""";;;;;
"2026/01/07 10:10:05 p. m. CET,""Sabo RB OP13";"Kuzan U"",""Kuzan U""";;;;;
"2026/01/07 10:26:45 p. m. CET,""Sanji UP";Foxy P;"Doflamingo GP"",""Foxy P""";;;;
"2026/01/07 10:31:39 p. m. CET,""Boa UY";Mihawk G;Doflamingo P;"Ace RU"",""Ace RU""";;;
"2026/01/07 11:47:53 p. m. CET,""Imu B";Sabo RB OP13;"Sanji UP"",""Sanji UP""";;;;
"2026/01/07 11:48:32 p. m. CET,""Boa UY";"Ace RU"",""Boa UY""";;;;;
"2026/01/08 6:55:08 a. m. CET,""Doflamingo P";"Roger RP"",""Roger RP""";;;;;
"2026/01/08 8:20:42 a. m. CET,""Imu B"",""Imu B""";;;;;;
"2026/01/08 9:11:07 a. m. CET,""Imu B";"Blackbeard B"",""Blackbeard B""";;;;;
"2026/01/08 9:36:36 a. m. CET,""Ace RU";Luffy UP;"Belo Betty RY"",""Ace RU""";;;;
"2026/01/08 9:42:23 a. m. CET,""Enel Y";"Luffy Y"",""Luffy Y""";;;;;
"2026/01/08 9:49:30 a. m. CET,""Boa UY";Moria BY;Imu B;"Luffy Y"",""Imu B""";;;
"2026/01/08 9:51:26 a. m. CET,""Enel Y";Bonney Y;"Luffy Y"",""Enel Y""";;;;
"2026/01/08 10:01:57 a. m. CET,""Boa UY";"Carrot G"",""Carrot G""";;;;;
"2026/01/08 10:20:55 a. m. CET,""Mihawk G";"Bonney G"",""Bonney G""";;;;;
"2026/01/08 10:36:09 a. m. CET,""Boa UY";Crocodile B;Kuzan U;"Boa U"",""Boa UY""";;;
"2026/01/08 10:55:25 a. m. CET,""Mihawk G";Luffy UP;Roger RP;Bonney G;"Carrot G"",""Mihawk G""";;
"2026/01/08 3:12:02 p. m. CET,""Mihawk G";Zoro G;"Carrot G"",""Mihawk G""";;;;
"2026/01/09 8:42:07 a. m. CET,""Imu B"",""Imu B""";;;;;;
"2026/01/09 9:01:56 a. m. CET,""Luffy UP";Roger RP;Oden RG;"Kaido P"",""Kaido P""";;;
"2026/01/09 9:11:42 a. m. CET,""Mihawk G";Jinbei U;"Roger RP"",""Roger RP""";;;;
"2026/01/09 9:34:24 a. m. CET,""Boa UY";Mihawk G;Ace RU;Sanji UP;Carrot G;Luffy Y;"Nami UY"",""Boa UY"""
"2026/01/09 10:09:22 a. m. CET,""Mihawk G";Doflamingo P;Imu B;Zoro G;"Katakuri P"",""Mihawk G""";;
"2026/01/09 11:50:56 a. m. CET,""Boa UY";Ace RU;"Luffy GP"",""Ace RU""";;;;
"2026/01/09 12:46:42 p. m. CET,""Luffy UP";"Bonney Y"",""Luffy UP""";;;;;
"2026/01/10 2:53:40 p. m. CET,""Crocodile B";Ace RU;"Imu B"",""Ace RU""";;;;
